student_id,gender,parental_education,internet_access,extracurricular,study_hours,attendance_pct,previous_exam_marks,assignment_marks,internal_marks,practice_test_score,sleep_hours,commute_minutes,final_exam_marks
S0524,Male,High School,Yes,Yes,7.1,77.2,62.0,65.0,67.0,35.0,6.2,38.0,59.7
S0603,Female,Master,Yes,No,5.9,89.9,75.0,80.0,84.0,92.0,10.0,40.0,86.5
S0527,Female,High School,Yes,No,1.9,94.3,84.0,82.0,84.0,97.0,7.1,23.0,73.0
S0032,Female,High School,Yes,No,6.8,68.4,59.0,78.0,50.0,59.0,8.2,30.0,64.8
S0617,Male,High School,Yes,No,3.5,78.8,77.0,65.0,97.0,52.0,7.3,37.0,65.9
S0586,Female,High School,Yes,No,4.7,99.2,95.0,88.0,77.0,82.0,7.0,35.0,80.2
S0445,Male,High School,No,No,3.8,88.3,67.0,75.0,53.0,43.0,6.6,53.0,52.7
S0733,Female,,Yes,No,5.8,78.4,73.0,80.0,66.0,51.0,8.4,22.0,69.8
S0077,Male,Master,Yes,Yes,2.6,66.8,61.0,59.0,49.0,57.0,8.3,42.0,50.7
S0412,Female,High School,,Yes,0.5,68.2,47.0,54.0,41.0,26.0,8.8,18.0,41.7
S0569,Male,PhD,Yes,Yes,3.7,70.3,74.0,76.0,69.0,65.0,7.8,9.0,70.5
S0071,Female,High School,Yes,Yes,6.2,53.6,62.0,41.0,55.0,44.0,6.7,37.0,56.0
S0676,Male,PhD,Yes,No,7.1,79.4,71.0,79.0,71.0,67.0,7.7,12.0,76.3
S0102,Female,Bachelor,Yes,No,9.6,86.1,86.0,63.0,77.0,64.0,9.1,50.0,90.8
S0895,Female,Master,No,Yes,8.0,100.0,72.0,74.0,75.0,49.0,7.8,18.0,68.7
S0926,Female,Master,Yes,Yes,2.6,96.7,85.0,59.0,76.0,58.0,7.8,32.0,69.9
S0630,Male,Master,Yes,No,1.0,63.2,48.0,51.0,52.0,43.0,5.7,38.0,40.1
S0300,Male,High School,Yes,Yes,5.0,,75.0,69.0,72.0,57.0,4.5,21.0,61.2
S0925,Female,Bachelor,Yes,No,,77.5,56.0,45.0,59.0,58.0,7.8,33.0,59.1
S0425,Male,Bachelor,No,Yes,6.7,73.1,56.0,57.0,46.0,51.0,7.8,30.0,64.3
S0097,Male,Master,Yes,No,4.3,75.3,54.0,66.0,73.0,46.0,5.3,36.0,59.0
S0901,Female,PhD,Yes,No,6.1,83.4,86.0,95.0,61.0,70.0,5.1,35.0,79.9
S0261,Male,High School,Yes,No,5.4,,66.0,64.0,60.0,69.0,6.3,40.0,62.9
S0351,Male,High School,Yes,Yes,7.7,68.0,68.0,70.0,70.0,63.0,7.6,5.0,71.4
S0529,Female,High School,No,No,3.4,92.5,66.0,70.0,56.0,48.0,7.1,32.0,60.3
S0695,Male,Bachelor,Yes,Yes,,62.8,60.0,,61.0,42.0,7.5,31.0,62.6
S0362,Female,Bachelor,No,Yes,6.8,,71.0,71.0,75.0,49.0,,25.0,70.3
S0612,Male,High School,Yes,Yes,5.9,69.1,52.0,79.0,57.0,69.0,8.1,35.0,60.4
S0885,Male,PhD,No,No,6.3,92.1,54.0,68.0,57.0,45.0,6.8,30.0,54.8
S0721,Female,Bachelor,Yes,Yes,4.8,72.3,68.0,68.0,62.0,70.0,8.3,19.0,73.3
S0487,Female,High School,Yes,Yes,4.3,77.3,54.0,67.0,62.0,57.0,8.5,29.0,65.1
S0694,Male,High School,Yes,No,2.2,66.2,42.0,70.0,38.0,27.0,7.1,26.0,44.4
S0679,Male,,Yes,Yes,6.5,75.4,73.0,64.0,66.0,71.0,8.5,61.0,75.5
S0810,Female,Bachelor,Yes,No,6.9,91.3,75.0,60.0,60.0,60.0,6.6,21.0,69.1
S0409,Male,,Yes,No,4.2,57.2,44.0,56.0,52.0,49.0,6.2,26.0,47.0
S0741,Female,High School,Yes,Yes,5.6,68.4,74.0,69.0,71.0,70.0,6.3,5.0,69.3
S0214,Female,Bachelor,Yes,Yes,4.5,87.7,56.0,72.0,64.0,65.0,7.3,14.0,62.1
S0590,Male,Bachelor,Yes,No,4.7,87.2,82.0,95.0,80.0,74.0,8.3,34.0,73.8
S0366,Female,Bachelor,Yes,Yes,6.9,100.0,77.0,73.0,86.0,81.0,6.5,49.0,79.7
S0200,Female,Master,Yes,Yes,1.3,61.2,66.0,79.0,64.0,67.0,7.6,20.0,61.3
S0637,Female,High School,Yes,No,6.6,85.5,48.0,58.0,75.0,51.0,5.8,22.0,61.2
S0629,Male,Bachelor,Yes,Yes,4.2,84.7,55.0,78.0,61.0,56.0,7.5,26.0,63.6
S0829,Female,Master,Yes,No,6.4,77.2,70.0,80.0,68.0,66.0,8.5,24.0,75.1
S0353,Male,High School,No,No,5.2,72.5,70.0,64.0,38.0,51.0,5.0,33.0,52.8
S0330,Female,Bachelor,Yes,No,4.9,99.1,66.0,68.0,71.0,67.0,7.7,45.0,71.0
S0982,Male,High School,Yes,Yes,2.7,63.3,46.0,53.0,47.0,55.0,6.3,15.0,40.0
S0838,Female,High School,No,No,7.6,86.4,92.0,75.0,66.0,69.0,4.3,45.0,75.1
S0245,Male,Bachelor,Yes,No,9.3,86.1,82.0,70.0,79.0,76.0,,29.0,78.3
S0287,Male,Bachelor,Yes,No,4.5,77.2,69.0,83.0,77.0,64.0,7.6,59.0,72.8
S0290,Male,Bachelor,No,No,0.5,80.9,75.0,56.0,51.0,73.0,7.9,12.0,48.4
S0599,Male,Master,Yes,No,1.4,61.4,71.0,73.0,71.0,69.0,8.8,22.0,56.0
S0762,Female,Bachelor,Yes,Yes,6.2,71.2,78.0,79.0,59.0,64.0,5.6,18.0,69.0
S0060,Male,Master,Yes,Yes,9.3,82.6,82.0,62.0,74.0,77.0,7.5,43.0,92.1
S0623,Female,High School,Yes,Yes,3.8,99.2,81.0,77.0,70.0,64.0,8.3,55.0,71.2
S0319,Female,Master,Yes,Yes,2.3,83.8,72.0,64.0,54.0,75.0,7.8,13.0,57.3
S0011,Female,Bachelor,Yes,No,,72.4,75.0,71.0,82.0,57.0,9.1,2.0,64.9
S0238,Male,Bachelor,No,No,8.6,73.4,63.0,78.0,59.0,66.0,9.2,46.0,70.5
S0332,Female,PhD,Yes,No,6.1,77.8,69.0,68.0,78.0,66.0,7.4,22.0,71.3
S0706,Male,High School,No,No,5.0,65.6,50.0,54.0,53.0,44.0,5.3,32.0,42.8
S0087,Male,Bachelor,No,Yes,4.3,90.5,54.0,65.0,60.0,59.0,7.4,39.0,62.3
S0804,Male,Bachelor,Yes,No,4.1,,71.0,71.0,71.0,68.0,6.6,22.0,68.2
S0175,Female,High School,Yes,No,4.4,62.3,43.0,70.0,45.0,57.0,8.0,9.0,52.4
S0313,Female,Bachelor,Yes,No,6.2,94.6,93.0,85.0,68.0,80.0,7.8,35.0,77.9
S0463,Female,High School,Yes,No,2.1,82.7,56.0,54.0,57.0,48.0,9.7,48.0,54.3
S0219,Female,Master,Yes,No,4.4,79.6,52.0,50.0,61.0,66.0,5.0,25.0,58.1
S0031,Female,Bachelor,Yes,No,6.6,89.3,93.0,81.0,82.0,84.0,6.4,47.0,79.5
S0548,Male,,Yes,No,6.4,70.0,69.0,72.0,40.0,53.0,4.5,3.0,56.1
S0665,Male,Bachelor,No,Yes,4.4,88.7,73.0,63.0,52.0,62.0,7.3,51.0,66.0
S0055,Female,High School,Yes,Yes,30.7,84.8,56.0,71.0,70.0,63.0,9.1,9.0,62.3
S0024,Male,Bachelor,Yes,No,6.1,72.7,63.0,66.0,61.0,72.0,6.7,48.0,62.0
S0257,Male,High School,Yes,Yes,2.3,94.5,62.0,78.0,63.0,48.0,6.4,34.0,57.7
S0451,Male,Master,Yes,Yes,5.4,76.1,62.0,78.0,62.0,63.0,8.9,5.0,74.9
S0004,Male,Master,Yes,Yes,9.6,76.3,77.0,66.0,74.0,77.0,4.8,29.0,81.8
S0834,Female,Bachelor,Yes,Yes,2.7,78.6,65.0,68.0,80.0,62.0,6.8,17.0,62.3
S0553,Male,High School,Yes,No,9.0,87.8,59.0,63.0,68.0,65.0,5.8,32.0,70.2
S0639,Female,,No,Yes,7.9,74.2,74.0,87.0,61.0,88.0,8.3,62.0,79.8
S0478,Female,High School,Yes,No,3.1,80.7,54.0,52.0,51.0,41.0,6.8,26.0,47.6
S0957,Male,Bachelor,Yes,No,4.1,64.0,62.0,83.0,55.0,58.0,6.0,36.0,63.8
S0663,Female,Bachelor,Yes,No,4.3,70.8,52.0,66.0,42.0,49.0,5.1,23.0,52.8
S0519,Female,Master,Yes,Yes,7.4,100.0,79.0,,80.0,66.0,7.1,39.0,84.6
S0961,Female,Bachelor,Yes,Yes,3.4,75.5,80.0,72.0,98.0,75.0,5.3,41.0,73.5
S0954,Male,High School,Yes,Yes,7.1,78.8,61.0,,62.0,47.0,5.4,24.0,67.6
S0980,Female,High School,No,Yes,6.9,98.0,75.0,81.0,59.0,61.0,5.0,48.0,73.7
S0576,Male,Bachelor,Yes,Yes,0.5,63.7,39.0,62.0,56.0,62.0,6.4,8.0,48.3
S0540,Female,Bachelor,No,Yes,4.0,80.0,59.0,66.0,60.0,66.0,6.2,33.0,58.7
S0216,Female,Bachelor,Yes,Yes,5.7,71.4,70.0,54.0,71.0,59.0,7.4,30.0,68.1
S0738,Male,Master,Yes,No,7.7,83.4,63.0,61.0,80.0,70.0,7.1,18.0,73.7
S0999,Male,High School,Yes,No,9.7,78.3,74.0,,55.0,74.0,7.8,27.0,79.8
S0714,Female,Bachelor,No,Yes,1.6,88.5,63.0,57.0,73.0,63.0,6.4,9.0,53.9
S0668,Male,Master,No,Yes,3.5,91.4,69.0,73.0,64.0,94.0,9.2,44.0,69.3
S0040,Male,High School,Yes,Yes,6.1,80.6,76.0,76.0,72.0,74.0,7.4,23.0,71.9
S0232,Male,PhD,Yes,No,5.7,74.7,40.0,60.0,61.0,54.0,8.1,24.0,58.7
S0495,Male,Bachelor,Yes,No,7.0,69.8,55.0,52.0,67.0,66.0,7.8,66.0,63.3
S0705,Female,Bachelor,Yes,No,5.2,85.1,93.0,83.0,71.0,75.0,9.0,18.0,77.5
S0968,Male,PhD,Yes,No,0.9,67.0,52.0,54.0,52.0,56.0,5.9,24.0,40.4
S0067,Female,High School,Yes,Yes,0.5,83.6,68.0,70.0,77.0,76.0,6.8,28.0,59.3
S0295,Female,Bachelor,Yes,No,7.1,80.6,46.0,85.0,68.0,44.0,6.5,2.0,70.3
